Date,ProductID,TrendType,Value
2024-01-01,1001,Sales,1200
2024-01-01,1002,Sales,1500
2024-01-01,1003,Sales,900
2024-01-01,1004,Sales,500
2024-01-01,1005,Sales,300
2024-01-01,1006,Sales,700
2024-01-02,1001,Sales,1100
2024-01-02,1002,Sales,1600
2024-01-02,1003,Sales,950
2024-01-02,1004,Sales,550
2024-01-02,1005,Sales,320
2024-01-02,1006,Sales,720
2024-01-03,1001,Sales,1150
2024-01-03,1002,Sales,1700
2024-01-03,1003,Sales,970
2024-01-03,1004,Sales,600
2024-01-03,1005,Sales,330
2024-01-03,1006,Sales,730
2024-01-04,1001,Sales,1200
2024-01-04,1002,Sales,1750
2024-01-04,1003,Sales,980
2024-01-04,1004,Sales,620
2024-01-04,1005,Sales,340
2024-01-04,1006,Sales,740
2024-01-05,1001,Sales,1250
2024-01-05,1002,Sales,1800
2024-01-05,1003,Sales,990
2024-01-05,1004,Sales,630
2024-01-05,1005,Sales,350
2024-01-05,1006,Sales,750
2024-01-06,1001,Sales,1300
2024-01-06,1002,Sales,1850
2024-01-06,1003,Sales,1000
2024-01-06,1004,Sales,640
2024-01-06,1005,Sales,360
2024-01-06,1006,Sales,760
2024-01-07,1001,Sales,1350
2024-01-07,1002,Sales,1900
2024-01-07,1003,Sales,1010
2024-01-07,1004,Sales,650
2024-01-07,1005,Sales,370
2024-01-07,1006,Sales,770
2024-01-08,1001,Sales,1400
2024-01-08,1002,Sales,1950
2024-01-08,1003,Sales,1020
2024-01-08,1004,Sales,660
2024-01-08,1005,Sales,380
2024-01-08,1006,Sales,780
2024-01-09,1001,Sales,1450
2024-01-09,1002,Sales,2000
2024-01-09,1003,Sales,1030
2024-01-09,1004,Sales,670
2024-01-09,1005,Sales,390
2024-01-09,1006,Sales,790
2024-01-10,1001,Sales,1500
2024-01-10,1002,Sales,2050
2024-01-10,1003,Sales,1040
2024-01-10,1004,Sales,680
2024-01-10,1005,Sales,400
2024-01-10,1006,Sales,800
2024-02-01,1001,Sales,1600
2024-02-01,1002,Sales,2100
2024-02-01,1003,Sales,1050
2024-02-01,1004,Sales,690
2024-02-01,1005,Sales,410
2024-02-01,1006,Sales,810
2024-02-02,1001,Sales,1650
2024-02-02,1002,Sales,2150
2024-02-02,1003,Sales,1060
2024-02-02,1004,Sales,700
2024-02-02,1005,Sales,420
2024-02-02,1006,Sales,820
2024-02-03,1001,Sales,1700
2024-02-03,1002,Sales,2200
2024-02-03,1003,Sales,1070
2024-02-03,1004,Sales,710
2024-02-03,1005,Sales,430
2024-02-03,1006,Sales,830
2024-02-04,1001,Sales,1750
2024-02-04,1002,Sales,2250
2024-02-04,1003,Sales,1080
2024-02-04,1004,Sales,720
2024-02-04,1005,Sales,440
2024-02-04,1006,Sales,840
2024-02-05,1001,Sales,1800
2024-02-05,1002,Sales,2300
2024-02-05,1003,Sales,1090
2024-02-05,1004,Sales,730
2024-02-05,1005,Sales,450
2024-02-05,1006,Sales,850
2024-02-06,1001,Sales,1850
2024-02-06,1002,Sales,2350
2024-02-06,1003,Sales,1100
2024-02-06,1004,Sales,740
2024-02-06,1005,Sales,460
2024-02-06,1006,Sales,860
2024-02-07,1001,Sales,1900
2024-02-07,1002,Sales,2400
2024-02-07,1003,Sales,1110
2024-02-07,1004,Sales,750
2024-02-07,1005,Sales,470
2024-02-07,1006,Sales,870
2024-02-08,1001,Sales,1950
2024-02-08,1002,Sales,2450
2024-02-08,1003,Sales,1120
2024-02-08,1004,Sales,760
2024-02-08,1005,Sales,480
2024-02-08,1006,Sales,880
2024-02-09,1001,Sales,2000
2024-02-09,1002,Sales,2500
2024-02-09,1003,Sales,1130
2024-02-09,1004,Sales,770
2024-02-09,1005,Sales,490
2024-02-09,1006,Sales,890
2024-02-10,1001,Sales,2050
2024-02-10,1002,Sales,2550
2024-02-10,1003,Sales,1140
2024-02-10,1004,Sales,780
2024-02-10,1005,Sales,500
2024-02-10,1006,Sales,900
2024-03-01,1001,Sales,2100
2024-03-01,1002,Sales,2600
2024-03-01,1003,Sales,1150
2024-03-01,1004,Sales,790
2024-03-01,1005,Sales,510
2024-03-01,1006,Sales,910
2024-03-02,1001,Sales,2150
2024-03-02,1002,Sales,2650
2024-03-02,1003,Sales,1160
2024-03-02,1004,Sales,800
2024-03-02,1005,Sales,520
2024-03-02,1006,Sales,920
2024-03-03,1001,Sales,2200
2024-03-03,1002,Sales,2700
2024-03-03,1003,Sales,1170
2024-03-03,1004,Sales,810
2024-03-03,1005,Sales,530
2024-03-03,1006,Sales,930
2024-03-04,1001,Sales,2250
2024-03-04,1002,Sales,2750
2024-03-04,1003,Sales,1180
2024-03-04,1004,Sales,820
2024-03-04,1005,Sales,540
2024-03-04,1006,Sales,940
2024-03-05,1001,Sales,2300
2024-03-05,1002,Sales,2800
2024-03-05,1003,Sales,1190
2024-03-05,1004,Sales,830
2024-03-05,1005,Sales,550
