ProductID,ProductName,ProductGroup,Price
1001,No Product,Electronics,250.0
1002,No Product,Electronics,600.0
1003,Tablet C,Electronics,300.0
1004,Smartwatch D,Accessories,150.0
1005,Headphones E,Accessories,75.0
1006,Camera F,Electronics,800.0
1007,Smartphone G,Electronics,275.0
1008,Laptop H,Electronics,650.0
1009,Tablet I,Electronics,320.0
1010,Smartwatch J,Accessories,180.0
1011,Headphones K,Accessories,85.0
1012,Camera L,Electronics,850.0
1013,Smartphone M,Electronics,290.0
1014,Laptop N,Electronics,700.0
1015,Tablet O,Electronics,330.0
1016,Smartwatch P,Accessories,160.0
1017,Headphones Q,Accessories,90.0
1018,Camera R,Electronics,900.0
1019,Smartphone S,Electronics,310.0
1020,Laptop T,Electronics,750.0
1021,Tablet U,Electronics,340.0
1022,Smartwatch V,Accessories,170.0
1023,Headphones W,Accessories,95.0
1024,Camera X,Electronics,950.0
1025,Smartphone Y,Electronics,330.0
1026,Laptop Z,Electronics,800.0
1027,Tablet AA,Electronics,350.0
1028,Smartwatch BB,Accessories,200.0
1029,Headphones CC,Accessories,100.0
1030,Camera DD,Electronics,1000.0
1031,Smartphone EE,Electronics,340.0
1032,Laptop FF,Electronics,850.0
1033,Tablet GG,Electronics,360.0
1034,Smartwatch HH,Accessories,190.0
1035,Headphones II,Accessories,105.0
1036,Camera JJ,Electronics,1050.0
1037,Smartphone KK,Electronics,350.0
1038,Laptop LL,Electronics,900.0
1039,Tablet MM,Electronics,370.0
1040,Smartwatch NN,Accessories,210.0
1041,Headphones OO,Accessories,110.0
1042,Camera PP,Electronics,1100.0
1043,Smartphone QQ,Electronics,360.0
1044,Laptop RR,Electronics,950.0
1045,Tablet SS,Electronics,380.0
1046,Smartwatch TT,Accessories,220.0
1047,Headphones UU,Accessories,115.0
1048,Camera VV,Electronics,1150.0
1049,Smartphone WW,Electronics,370.0
1050,Laptop XX,Electronics,1000.0
