SaleID, CustomerID, ProductID, SaleDate, Quantity, SaleAmount
1, 101, 1001, 2024-01-01, 2, 500.00
2, 102, 1002, 2024-01-02, 1, 300.00
3, 103, 1003, 2024-01-03, 4, 1200.00
4, 101, 1002, 2024-01-04, 3, 900.00
5, 104, 1004, 2024-01-05, 1, 200.00
6, 105, 1005, 2024-01-06, 5, 1500.00
7, 106, 1001, 2024-01-07, 2, 500.00
8, 107, 1002, 2024-01-08, 1, 300.00
9, 108, 1003, 2024-01-09, 4, 1200.00
10, 109, 1004, 2024-01-10, 3, 600.00
11, 110, 1005, 2024-01-11, 2, 600.00
12, 101, 1001, 2024-01-12, 1, 250.00
13, 102, 1002, 2024-01-13, 2, 600.00
14, 103, 1003, 2024-01-14, 3, 900.00
15, 104, 1004, 2024-01-15, 4, 800.00
16, 105, 1005, 2024-01-16, 1, 300.00
17, 106, 1001, 2024-01-17, 5, 1250.00
18, 107, 1002, 2024-01-18, 2, 600.00
19, 108, 1003, 2024-01-19, 3, 900.00
20, 109, 1004, 2024-01-20, 4, 800.00
21, 110, 1005, 2024-01-21, 5, 1500.00
22, 101, 1001, 2024-01-22, 2, 500.00
23, 102, 1002, 2024-01-23, 1, 300.00
24, 103, 1003, 2024-01-24, 4, 1200.00
25, 104, 1004, 2024-01-25, 3, 600.00
26, 105, 1005, 2024-01-26, 2, 600.00
27, 106, 1001, 2024-01-27, 1, 250.00
28, 107, 1002, 2024-01-28, 2, 600.00
29, 108, 1003, 2024-01-29, 3, 900.00
30, 109, 1004, 2024-01-30, 4, 800.00
31, 110, 1005, 2024-01-31, 1, 300.00
32, 101, 1001, 2024-02-01, 5, 1250.00
33, 102, 1002, 2024-02-02, 2, 600.00
34, 103, 1003, 2024-02-03, 3, 900.00
35, 104, 1004, 2024-02-04, 4, 800.00
36, 105, 1005, 2024-02-05, 5, 1500.00
37, 106, 1001, 2024-02-06, 2, 500.00
38, 107, 1002, 2024-02-07, 1, 300.00
39, 108, 1003, 2024-02-08, 4, 1200.00
40, 109, 1004, 2024-02-09, 3, 600.00
41, 110, 1005, 2024-02-10, 2, 600.00
42, 101, 1001, 2024-02-11, 1, 250.00
43, 102, 1002, 2024-02-12, 2, 600.00
44, 103, 1003, 2024-02-13, 3, 900.00
45, 104, 1004, 2024-02-14, 4, 800.00
46, 105, 1005, 2024-02-15, 1, 300.00
47, 106, 1001, 2024-02-16, 5, 1250.00
48, 107, 1002, 2024-02-17, 2, 600.00
49, 108, 1003, 2024-02-18, 3, 900.00
50, 109, 1004, 2024-02-19, 4, 800.00
51, 110, 1005, 2024-02-20, 5, 1500.00
52, 101, 1001, 2024-02-21, 2, 500.00
53, 102, 1002, 2024-02-22, 1, 300.00
54, 103, 1003, 2024-02-23, 4, 1200.00
55, 104, 1004, 2024-02-24, 3, 600.00
56, 105, 1005, 2024-02-25, 2, 600.00
57, 106, 1001, 2024-02-26, 1, 250.00
58, 107, 1002, 2024-02-27, 2, 600.00
59, 108, 1003, 2024-02-28, 3, 900.00
60, 109, 1004, 2024-02-29, 4, 800.00
61, 110, 1005, 2024-03-01, 1, 300.00
62, 101, 1001, 2024-03-02, 5, 1250.00
63, 102, 1002, 2024-03-03, 2, 600.00
64, 103, 1003, 2024-03-04, 3, 900.00
65, 104, 1004, 2024-03-05, 4, 800.00
66, 105, 1005, 2024-03-06, 5, 1500.00
67, 106, 1001, 2024-03-07, 2, 500.00
68, 107, 1002, 2024-03-08, 1, 300.00
69, 108, 1003, 2024-03-09, 4, 1200.00
70, 109, 1004, 2024-03-10, 3, 600.00
71, 110, 1005, 2024-03-11, 2, 600.00
72, 101, 1001, 2024-03-12, 1, 250.00
73, 102, 1002, 2024-03-13, 2, 600.00
74, 103, 1003, 2024-03-14, 3, 900.00
75, 104, 1004, 2024-03-15, 4, 800.00
76, 105, 1005, 2024-03-16, 1, 300.00
77, 106, 1001, 2024-03-17, 5, 1250.00
78, 107, 1002, 2024-03-18, 2, 600.00
79, 108, 1003, 2024-03-19, 3, 900.00
80, 109, 1004, 2024-03-20, 4, 800.00
